psnum_na,psnum_ps,turnout_percentage_ps,total_votes,psnum,pti_acc_ecp,est_acc_ecp,total_votes_acc_ecp,pti_acc_pti,est_acc_pti,total_votes_acc_pti,pti_acc_pti_fixed,est_acc_pti_fixed,total_votes_acc_pti_fixed,est_diff,pti_diff,total_votes_diff,ecp_pti_discrepency,pti_won_acc_ecp,ecp_winner,pti_winner,name,registered_voters,turnout_acc_ecp,turnout_acc_pti
,,0.9287037037037037,,190,92,649,1003.0,,,,92.0,649.0,1003.0,0.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,52,1080,0.9287037037037037,0.9287037037037037
,,0.35426731078904994,,191,129,21,440.0,,,,129.0,21.0,440.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,53,1242,0.35426731078904994,0.35426731078904994
,,0.21262002743484226,,192,72,26,310.0,129.0,21.0,,129.0,21.0,310.0,5.0,57.0,0.0,True,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,54,1458,0.21262002743484226,0.21262002743484226
193.0,64.0,0.3373032752020417,793.0,193,250,217,793.0,250.0,217.0,776.0,250.0,217.0,776.0,0.0,0.0,17.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,55,2351,0.3373032752020417,0.33007230965546575
194.0,65.0,0.2471671388101983,349.0,194,90,82,350.0,90.0,82.0,350.0,90.0,82.0,350.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,55,1412,0.24787535410764872,0.24787535410764872
195.0,66.0,0.3155497722836695,485.0,195,266,20,485.0,183.0,12.0,417.0,183.0,12.0,417.0,8.0,83.0,68.0,True,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,56,1537,0.3155497722836695,0.27130774235523747
196.0,67.0,0.41440117560617196,564.0,196,237,21,564.0,237.0,21.0,564.0,237.0,21.0,564.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,56,1361,0.41440117560617196,0.41440117560617196
197.0,68.0,0.37977632805219014,815.0,197,314,132,853.0,314.0,132.0,,314.0,132.0,853.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,56 Duplicate,2146,0.39748369058713884,0.39748369058713884
198.0,69.0,0.4004750593824228,843.0,198,226,277,840.0,226.0,277.0,809.0,226.0,277.0,809.0,0.0,0.0,31.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,58,2105,0.3990498812351544,0.3843230403800475
199.0,70.0,0.288981288981289,417.0,199,183,12,417.0,,,,183.0,12.0,417.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,58,1443,0.288981288981289,0.288981288981289
200.0,71.0,0.408,408.0,200,168,4,408.0,168.0,4.0,408.0,168.0,4.0,408.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,58,1000,0.408,0.408
201.0,72.0,0.18668496911461907,272.0,201,86,1,272.0,86.0,1.0,272.0,86.0,1.0,272.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,58,1457,0.18668496911461907,0.18668496911461907
202.0,73.0,0.3409490333919156,582.0,202,328,14,580.0,328.0,14.0,583.0,328.0,14.0,583.0,0.0,0.0,3.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,59,1707,0.3397773872290568,0.341534856473345
203.0,74.0,0.4107542942494399,550.0,203,271,9,550.0,271.0,9.0,550.0,271.0,9.0,550.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,59,1339,0.4107542942494399,0.4107542942494399
204.0,75.0,0.4351464435146444,416.0,204,202,5,416.0,202.0,5.0,416.0,202.0,5.0,416.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,59,956,0.4351464435146444,0.4351464435146444
205.0,76.0,0.4691588785046729,502.0,205,272,12,493.0,272.0,12.0,494.0,272.0,12.0,494.0,0.0,0.0,1.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,60,1070,0.46074766355140184,0.4616822429906542
206.0,77.0,0.21960414703110273,233.0,206,132,802,1033.0,132.0,2.0,233.0,132.0,2.0,233.0,800.0,0.0,800.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,60,1061,0.9736098020735156,0.21960414703110273
207.0,78.0,0.22745098039215686,348.0,207,28,127,348.0,28.0,127.0,,28.0,127.0,348.0,0.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,60,1530,0.22745098039215686,0.22745098039215686
208.0,79.0,0.16930379746835442,321.0,208,135,2,321.0,,,,135.0,2.0,321.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,61,1896,0.16930379746835442,0.16930379746835442
209.0,80.0,0.1857451403887689,258.0,209,113,1,252.0,113.0,1.0,,113.0,1.0,252.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,62,1389,0.18142548596112312,0.18142548596112312
210.0,81.0,0.3374269005847953,577.0,210,247,1125,1676.0,,,,247.0,1125.0,1676.0,0.0,0.0,0.0,False,False,SYED MUSTAFA KAMAL MQM,SYED MUSTAFA KAMAL MQM,62,1710,0.9801169590643275,0.9801169590643275
211.0,82.0,0.32318104906937395,573.0,211,269,15,573.0,269.0,15.0,573.0,269.0,15.0,573.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,62,1773,0.32318104906937395,0.32318104906937395
212.0,83.0,0.11221270842721946,249.0,212,190,15,420.0,,,,190.0,15.0,420.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,63,2219,0.1892744479495268,0.1892744479495268
213.0,84.0,0.3825317855168601,692.0,213,289,23,692.0,289.0,23.0,,289.0,23.0,692.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,63,1809,0.3825317855168601,0.3825317855168601
214.0,85.0,1.0,1089.0,214,91,702,946.0,91.0,2.0,1089.0,91.0,2.0,1089.0,700.0,0.0,143.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,64,1089,0.8686868686868687,1.0
215.0,86.0,0.3472840605520926,780.0,215,304,29,778.0,304.0,29.0,778.0,304.0,29.0,778.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,64,2246,0.346393588601959,0.346393588601959
216.0,87.0,0.23029045643153526,333.0,216,127,5,334.0,127.0,5.0,334.0,127.0,5.0,334.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,65,1446,0.23098201936376211,0.23098201936376211
217.0,88.0,0.16779891304347827,247.0,217,138,6,248.0,138.0,6.0,248.0,138.0,6.0,248.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,65,1472,0.16847826086956522,0.16847826086956522
218.0,89.0,0.34044298605414275,415.0,218,239,13,415.0,239.0,13.0,415.0,239.0,13.0,415.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,65,1219,0.34044298605414275,0.34044298605414275
219.0,90.0,1.0,1029.0,219,184,8,369.0,184.0,8.0,369.0,184.0,8.0,369.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,65,1029,0.358600583090379,0.358600583090379
220.0,91.0,0.3874439461883408,432.0,220,209,27,430.0,209.0,27.0,430.0,209.0,27.0,430.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,65,1115,0.38565022421524664,0.38565022421524664
221.0,92.0,0.39180765805877116,440.0,221,208,620,1038.0,208.0,20.0,436.0,208.0,20.0,436.0,600.0,0.0,602.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,66,1123,0.9243098842386465,0.38824577025823687
222.0,93.0,0.2226123595505618,317.0,222,161,19,318.0,161.0,19.0,318.0,161.0,19.0,318.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,66,1424,0.22331460674157302,0.22331460674157302
223.0,94.0,0.22255729794933654,369.0,223,84,80,368.0,84.0,80.0,368.0,84.0,80.0,368.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,67,1658,0.22195416164053075,0.22195416164053075
224.0,95.0,0.1593959731543624,190.0,224,42,25,188.0,43.0,25.0,188.0,43.0,25.0,188.0,0.0,1.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,67,1192,0.15771812080536912,0.15771812080536912
225.0,96.0,0.32286128564523925,668.0,225,189,106,668.0,189.0,106.0,668.0,189.0,106.0,668.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,67,2069,0.32286128564523925,0.32286128564523925
226.0,97.0,0.2254180602006689,337.0,226,82,1055,1337.0,82.0,55.0,337.0,82.0,55.0,337.0,1000.0,0.0,1000.0,False,False,SYED MUSTAFA KAMAL MQM,DAWA KHAN SABIR  PTI,67,1495,0.894314381270903,0.2254180602006689
,,0.30141010575793187,,227,132,69,513.0,132.0,69.0,513.0,132.0,69.0,513.0,0.0,0.0,0.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,68,1702,0.30141010575793187,0.30141010575793187
228.0,99.0,0.3678402522333158,700.0,228,197,122,704.0,197.0,122.0,701.0,197.0,122.0,701.0,0.0,0.0,3.0,False,True,DAWA KHAN SABIR  PTI,DAWA KHAN SABIR  PTI,68,1903,0.3699421965317919,0.36836573830793484
