PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES
216,141,110,1980,Khurram Sher Zaman,24,393,550,27.77777778,550,27.77777778,0,24,393,547,369
217,142,110,1601,Khurram Sher Zaman,22,426,448,27.98251093,350,21.86133666,98,15,247,349,411
218,143,110,1509,Mirza Ikhtiar Baig,543,393,969,64.21471173,464,30.74884029,505,21,345,459,372
219,144,110,1915,Mirza Ikhtiar Baig,330,247,577,30.1305483,614,32.06266319,37,24,485,618,223
220,145,110,1143,Mirza Ikhtiar Baig,652,345,997,87.22659668,374,32.72090989,623,18,261,367,327
221,146,110,1823,Mirza Ikhtiar Baig,543,14,798,43.7739989,503,27.59188151,295,27,371,500,-13
222,147,110,2110,Mirza Ikhtiar Baig,342,261,603,28.57819905,617,29.24170616,14,53,422,613,208
223,148,110,2174,Mirza Ikhtiar Baig,600,371,1171,53.86384545,621,28.56485741,550,Missing,Missing,Missing,#VALUE!
224,149,110,2296,Mirza Ikhtiar Baig,765,422,1292,56.271777,702,30.57491289,590,Missing,Missing,Missing,#VALUE!
225,150,110,1436,Mirza Ikhtiar Baig,763,42,838,58.35654596,382,26.60167131,456,15,300,382,27
226,151,110,1396,Mirza Ikhtiar Baig,350,30,380,27.22063037,315,22.56446991,65,13,241,314,17
227,152,110,1608,Khurram Sher Zaman,400,419,828,51.49253731,400,24.87562189,428,15,319,398,404
228,153,110,1737,Mirza Ikhtiar Baig,557,546,1126,64.8244099,586,33.736327,540,19,446,584,527
229,154,110,2475,Mirza Ikhtiar Baig,111,70,292,11.7979798,812,32.80808081,520,29,603,803,41
230,155,110,1284,Mirza Ikhtiar Baig,560,508,1266,98.59813084,536,41.74454829,730,18,408,527,490
231,156,110,1604,Mirza Ikhtiar Baig,600,535,1195,74.50124688,597,37.21945137,598,30,435,593,505
232,157,110,1658,Mirza Ikhtiar Baig,900,505,1655,99.81905911,573,34.55971049,1082,29,405,562,476
233,158,110,1931,Khurram Sher Zaman,300,651,985,51.00983946,788,40.80787157,197,32,551,765,619
234,159,110,1555,Khurram Sher Zaman,403,960,1364,87.7170418,559,35.94855305,805,25,409,556,935
